[2023-01-08 02:59:45.2104837 | INF] KAPE directory: C:\Users\Administrator\Desktop\kape
[2023-01-08 02:59:45.2104837 | INF] Command line:   --tsource C: --tdest C:\logs\kape_out --tflush --target !SANS_Triage,CombinedLogs --gui 
[2023-01-08 02:59:45.2104837 | INF] System info: Machine name: AS103468433, 64-bit: true, User: Administrator OS: "WindowsServer2016" (10.0.20348)
[2023-01-08 02:59:46.0854699 | INF] Using Target operations
[2023-01-08 02:59:46.0854699 | WRN]   Flushing target destination directory C:\logs\kape_out
[2023-01-08 02:59:46.1010949 | WRN]   Creating target destination directory C:\logs\kape_out
[2023-01-08 02:59:46.1010949 | INF] Found 2 targets. Expanding targets to file list...
[2023-01-08 02:59:46.2573415 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2023-01-08 02:59:46.8198342 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2023-01-08 02:59:46.8510836 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2023-01-08 02:59:46.9135822 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2023-01-08 02:59:46.9448318 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2023-01-08 02:59:48.3510587 | ERR] Target CombinedLogs with Id d4fdd600-15b1-4b78-bc77-88e724861d8d already processed. Skipping!
[2023-01-08 02:59:48.3823068 | INF] Found 466 files in 2.260 seconds. Beginning copy...
[2023-01-08 02:59:48.8041729 | INF]   Deferring C:\Windows\System32\winevt\logs\Application.evtx due to IOException...
[2023-01-08 02:59:48.8041729 | INF]   Deferring C:\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4Operational.evtx due to IOException...
[2023-01-08 02:59:48.8041729 | INF]   Deferring C:\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4WHC.evtx due to IOException...
[2023-01-08 02:59:48.8041729 | INF]   Deferring C:\ProgramData\Microsoft\Windows Defender\Support\MPDetection-20221210-223229.log due to IOException...
